,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
123,Konya Şehir Hast.,Konya,474,"75,85","84,53",İç Anadolu Bölgesi
208,Kütahya Evliya Çelebi EAH.,Kütahya,97,"75,62","81,96",Ege Bölgesi
206,Emet Dr.Fazıl Doğan Devlet Hast.,Kütahya,6,"75,05","75,26",Ege Bölgesi
207,Tavşanlı Doç. Dr.Mustafa Kalemli Devlet Hast.,Kütahya,23,"75,42","81,11",Ege Bölgesi
87,Lüleburgaz Devlet Hast.,Kırklareli,33,"73,84","79,06",Marmara Bölgesi
85,Kırklareli EAH.,Kırklareli,29,"73,64","77,16",Marmara Bölgesi
86,Babaeski Devlet Hast.,Kırklareli,6,"73,33","79,6",Marmara Bölgesi
77,Kırıkkale Yahşihan İlçe Sağlık Müd.,Kırıkkale,3,"86,8","86,8",İç Anadolu Bölgesi
299,Mucur Devlet Hast.,Kırşehir,4,"75,47","76,51",İç Anadolu Bölgesi
297,Çiçekdağı İlçe Devlet Hast.,Kırşehir,2,"78,56","78,56",İç Anadolu Bölgesi
300,Akpınar İlçe Devlet Hast.,Kırşehir,2,"73,71","73,71",İç Anadolu Bölgesi
298,Kaman Devlet Hast.,Kırşehir,4,"73,67","74,05",İç Anadolu Bölgesi
301,Kırşehir EAH.,Kırşehir,12,"77,22","85,01",İç Anadolu Bölgesi
289,Doğanşehir Şehit Esra Köse Başaran Devlet Hast.,Malatya,18,"77,12","81,16",Doğu Anadolu Bölgesi
288,Darende Hulusi Efendi Devlet Hast.,Malatya,14,"76,58","79,33",Doğu Anadolu Bölgesi
